Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
getRequiredMenuFunctionNames_,15510,15552,Internal/private; Utility,Resolve or return required menu function names,Shared framework utilities,None detected,collectFrameworkHealthCheckRows_,None detected,None detected,archiveActiveRawDataSheet; archiveMonthlyActiveSheets; archiveMonthlyImportSheets; clearDiagnosticsAndTimingLogs; configureIndexRestoreWebAppUrl; createDisenrolledList; createIndexSheet; createOrRefreshAllReportTemplates; enforceGlobalSheetSortOrder; formatBannerReport; formatDashboard; formatMonthlySheets; formatUnlockedCarePlanReport; hideReportTemplates; hideSystemSheetsNow; hideSystemSheets_; hideTemplates; rebuildFormatDashboardDefaults; restoreSheetFromActiveIndexRow; runDashboardQualityFull; runDashboardQualityQuick; runDashboardQualityStartUp; runDashboardQualityValidateTemplates; saveActiveLayoutToDashboardSettings; setupReportFormattingDashboard; setupSystemSheets; showReportTemplates; showSystemSheetsNow; showSystemSheets_; showTemplates,None detected,formatDashboard; rebuildFormatDashboardDefaults; runDashboardQualityFull; runDashboardQualityQuick; runDashboardQualityStartUp; runDashboardQualityValidateTemplates; saveActiveLayoutToDashboardSettings; setupReportFormattingDashboard,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 43, branches 0)"
getRequiredDashboardFunctionNames_,15554,15562,Dashboard; Internal/private; Utility,Resolve or return required dashboard function names,Format Dashboard governance,None detected,collectFrameworkHealthCheckRows_,None detected,None detected,loadDashboardConfig_; setupReportFormattingDashboard; styleDashboard_; writeDashboardSection_; writeDashboardTitle_,None detected,loadDashboardConfig_; setupReportFormattingDashboard; styleDashboard_; writeDashboardSection_; writeDashboardTitle_,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 9, branches 0)"
getRequiredTemplateFunctionNames_,15564,15571,Formatter; Internal/private; Utility,Resolve or return required template function names,Template governance,None detected,collectFrameworkHealthCheckRows_,None detected,None detected,createOrRefreshAllReportTemplates; createOrRefreshTemplateFromDashboard_; hideReportTemplates; showReportTemplates,None detected,createOrRefreshTemplateFromDashboard_,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 0)"
getRequiredValidationFunctionNames_,15573,15579,Internal/private; Utility,Resolve or return required validation function names,Shared framework utilities,None detected,collectFrameworkHealthCheckRows_,None detected,None detected,validateReportTemplates; validateTemplateFromDashboard_; writeTemplateValidationReport_,None detected,validateTemplateFromDashboard_,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 0)"
getRequiredTimingFunctionNames_,15581,15588,Internal/private; Utility,Resolve or return required timing function names,Timing/runtime instrumentation,None detected,collectFrameworkHealthCheckRows_,None detected,None detected,writeFrameworkTimingReport_; writeTimingReport_,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 8, branches 0)"
runWorkflowSyncVerification,15591,15593,Public entry point; Workflow function,Run workflow sync verification,Shared framework utilities,runDashboardQualityWorkflowSyncVerification_,No static caller detected,runDashboardQualityWorkflowSyncVerification_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
runDashboardQualityWorkflowSyncVerification_,15595,15600,Dashboard; Internal/private,Run dashboard quality workflow sync verification,Dashboard Quality / validation,collectWorkflowSyncVerificationRows_; markFrameworkStep_; saveDashboardQualitySectionRows_,runWorkflowSyncVerification,collectWorkflowSyncVerificationRows_; markFrameworkStep_; saveDashboardQualitySectionRows_,None detected,Dashboard Quality Section L saved,None detected,Dashboard Quality Section L saved,None detected,None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 6, branches 1)"
setupSystemSheets,15603,15609,Menu function; Public entry point,Set up system sheets,Sheet utilities,createIndexSheet; forceBaseTemplateHidden_; initializeSystemSheets_; notify_,quickSystemSetup,createIndexSheet; forceBaseTemplateHidden_; initializeSystemSheets_; notify_,None detected,System sheets setup complete. Use the Organize Tabs menu item when tab sorting is needed.,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,notify_,"Low (LOC 7, branches 0)"
verifyFrameworkConfiguration,15611,15658,Public entry point; Validator; Configuration,Implement verify framework configuration,Shared framework utilities,collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardGlobalInputVerificationRows_; collectFormatDashboardSheetBehaviorVerificationRows_; collectFormatDashboardSheetDefinitionVerificationRows_; collectFormatDashboardSheetHeaderVerificationRows_; collectFormatDashboardTabOrganizationVerificationRows_; initializeSystemSheets_; markFrameworkStep_; runFrameworkTimed_; saveDashboardQualitySectionRows_; styleDashboardQualityReport_; writeCombinedFrameworkTimingReport_,No static caller detected,RFF_DASHBOARD_SHEET; RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY; collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardGlobalInputVerificationRows_; collectFormatDashboardSheetBehaviorVerificationRows_; collectFormatDashboardSheetDefinitionVerificationRows_; collectFormatDashboardSheetHeaderVerificationRows_; collectFormatDashboardTabOrganizationVerificationRows_; initializeSystemSheets_; markFrameworkStep_; runFrameworkTimed_; saveDashboardQualitySectionRows_; styleDashboardQualityReport_; writeCombinedFrameworkTimingReport_,SpreadsheetApp,Create or rebuild Format Dashboard before template creation.; Format Dashboard; Format Dashboard missing; Framework Timing Report verified; Section B Sheet Definitions verification written; Section C Sheet Behaviors verification written; Section E Sheet Headers verification written; Sheet Exists; System sheets initialized; RFF_DASHBOARD_SHEET; RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY,RFF_DASHBOARD_SHEET; RFF_DASHBOARD_VERIFY_BEHAVIORS_KEY; RFF_DASHBOARD_VERIFY_COLUMNS_KEY; RFF_DASHBOARD_VERIFY_GLOBAL_KEY; RFF_DASHBOARD_VERIFY_HEADERS_KEY; RFF_DASHBOARD_VERIFY_SHEETS_KEY; RFF_DASHBOARD_VERIFY_TAB_ORGANIZATION_KEY,Create or rebuild Format Dashboard before template creation.; Format Dashboard; Format Dashboard missing; Section A Global Inputs verification written; Section B Sheet Definitions verification written; Section C Sheet Behaviors verification written; Section D Column Definitions verification written; Section E Sheet Headers verification written; Section F Tab Organization verification written,getActiveSpreadsheet(); getSheetByName(),None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 48, branches 1)"
runFrameworkTimed_,15670,15690,Internal/private,Run framework timed,Shared framework utilities,isFrameworkTimingEnabled_; markFrameworkStep_; runWithWorkflowBusyFlag_; startFrameworkTiming_; writeFrameworkTimingReportBestEffort_,archiveActiveRawDataSheet; archiveMonthlyActiveSheets; archiveMonthlyImportSheets; buildCombinedFrameworkTestDashboard; clearDiagnosticsAndTimingLogs; createDisenrolledList; createOrRefreshAllReportTemplates; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlySheets; hideMonthlySheetsBySpecs_; hideReportTemplates; hideSystemSheetsNow; repairAllTemplateDateFormats; runAllFrameworkTestsAndBuildDashboard; runDashboardQualityFull; runDashboardQualityStartUp; runDashboardQualityValidateTemplates; runMonthlyUpdate; saveActiveLayoutToDashboardSettings; setupReportFormattingDashboardFromScriptDefaults_; showReportTemplates; showSystemSheetsNow; validateActiveBannerFormatterOutput; validateReportTemplates; verifyFrameworkConfiguration,isFrameworkTimingEnabled_; markFrameworkStep_; runWithWorkflowBusyFlag_; startFrameworkTiming_; writeFrameworkTimingReportBestEffort_,None detected,");
      markFrameworkStep_(timing, ",None detected,None detected,None detected,None detected,None detected,None detected,try/catch,markFrameworkStep_,"Low (LOC 21, branches 4)"
runWithWorkflowBusyFlag_,15692,15714,Internal/private,Run with workflow busy flag,Shared framework utilities,clearAllRuntimeCaches_; clearWorkflowBusy_; forceBaseTemplateHidden_; markWorkflowBusy_; notify_; runDeferredIndexRefreshIfNeeded_,runFrameworkTimed_,clearAllRuntimeCaches_; clearWorkflowBusy_; forceBaseTemplateHidden_; markWorkflowBusy_; notify_; runDeferredIndexRefreshIfNeeded_,PropertiesService; LockService,None detected,None detected,None detected,getProperty(),None detected,None detected,None detected,throws errors,notify_,"Low (LOC 23, branches 1)"
markWorkflowBusy_,15716,15720,Internal/private,Implement mark workflow busy,Shared framework utilities,None detected,runWithWorkflowBusyFlag_,None detected,PropertiesService,None detected,None detected,None detected,None detected,setProperty(),None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 0)"
clearWorkflowBusy_,15722,15726,Internal/private,Implement clear workflow busy,Shared framework utilities,None detected,runWithWorkflowBusyFlag_,None detected,PropertiesService,None detected,None detected,None detected,None detected,deleteProperty(),None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 0)"
runDeferredIndexRefreshIfNeeded_,15728,15734,Internal/private,Run deferred index refresh if needed,Index/archive lifecycle,createIndexSheet,runWithWorkflowBusyFlag_,createIndexSheet,PropertiesService,ML_INDEX_REFRESH_DEFERRED_KEY,None detected,None detected,getProperty(),deleteProperty(),None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 1)"
startFrameworkTiming_,15736,15745,Internal/private,Implement start framework timing,Timing/runtime instrumentation,None detected,runFrameworkTimed_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 0)"
markFrameworkStep_,15747,15770,Internal/private,Implement mark framework step,Shared framework utilities,getRuntimeTimingSeverity_; markRuntimeStep_,appendDemoPArchiveRows_; appendDisenrolledDeltasToExclusionSheet_; applyDataRows_; applyTemplateBaseFormatting_; applyTemplateFreezeAndTabColor_; applyTemplateRowHeights_; archiveActiveRawDataSheet; archiveMonthlySheetsBySpecs_; archiveRawDataSheet_; archiveRawSourceAndDeleteLocal_; buildCombinedFrameworkTestDashboard; buildTemplateFromDashboardSafely_; buildTemplateFromDashboard_; clearDiagnosticsAndTimingLogs; clearTemplateForFullBuild_; createActiveDemoPFromRawData_; createDisenrolledListForMonth_; createMasterListForMonth_; createMasterListSheetFromTemplate_; createOrRefreshAllReportTemplates; createOrRefreshTemplateFromDashboard_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; ensureDashboardQualitySheetShellForWorkflow_; ensureGoldenMasterTemplate_; ensureTemplateFilter_; flushStagedDashboardQualitySectionsRows_; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatMonthlySheets; getOrCreateDemoPArchiveSheet_; hideSheetIfNeeded_; hideSystemAndTestingSheets_; hideTemplateIfNeeded_; highlightFormatDashboardChangesFromChangelog_; moveDisenrolledPMRsFromDemoPToExclusion_; preflightMonthlyUpdateForMonth_; promoteStagedTemplateBuild_; rebuildDashboardQualitySheetShellStructure_; refreshTemplateMetadataOnly_; repairAllTemplateDateFormats; repairFormatDashboardSectionHeaders_; runAllFrameworkTestsAndBuildDashboard; runDashboardQualityCarePlanSyncDiagnostics_; runDashboardQualityDashboardVerificationSections_; runDashboardQualityDemoPValidation_; runDashboardQualityDisenrolledExclusionValidation_; runDashboardQualityMonthlyChangeValidation_; runDashboardQualityPerformanceSummary_; runDashboardQualityRawDataValidation_; runDashboardQualitySectionIfDue_; runDashboardQualityTemplateAndFormatSections_; runDashboardQualityValidateTemplates; runDashboardQualityWorkflowSyncVerification_; runFrameworkHealthCheck; runFrameworkTimed_; runMonthlyUpdate; runOperationalDataPipelineValidations_; saveActiveLayoutToDashboardSettings; saveFormatDashboardConfigChanges_; setReportTemplateVisibility_; setupReportFormattingDashboardFromScriptDefaults_; showSheetIfNeeded_; showSystemSheetsNow; updateDemoPMonthlySyncForMonth_; updateFormatDashboardChangelog_; validateActiveBannerFormatterOutput; validateReportTemplates; validateReportTemplatesCore_; verifyFrameworkConfiguration; writeDemoPDisenrollmentRetainedBody_,getRuntimeTimingSeverity_; markRuntimeStep_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,markRuntimeStep_; markFrameworkStep_,"Low (LOC 24, branches 3)"
writeFrameworkTimingReport_,15772,15774,Internal/private,Implement write framework timing report,Timing/runtime instrumentation,writeFrameworkTimingReportBestEffort_,writeTimingReport_,writeFrameworkTimingReportBestEffort_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
writeFrameworkTimingReportBestEffort_,15776,15786,Internal/private,Implement write framework timing report best effort,Timing/runtime instrumentation,appendRuntimeTimingToFrameworkTimingReport_; logBestEffortWarning_; writeCombinedFrameworkTimingReport_,runFrameworkTimed_; writeFrameworkTimingReport_,appendRuntimeTimingToFrameworkTimingReport_; logBestEffortWarning_; writeCombinedFrameworkTimingReport_,None detected,Framework timing telemetry skipped for ,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 11, branches 3)"
writeTimingReport_,15788,15790,Internal/private,Implement write timing report,Timing/runtime instrumentation,writeFrameworkTimingReport_,No static caller detected,writeFrameworkTimingReport_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
rebuildProductionMonthlyChangeTemplate,15792,15871,Public entry point; Workflow function; Formatter,Implement rebuild production monthly change template,Template governance,applyGovernedTextAndNumberFormats_; deleteSheetSafely_; getHeadersForSheetType_; getMonthlyChangeReportHeaders_; getSheetDefinitionByType_; getThemeColorsFromBase_; insertGovernedOutputSheet_; loadDashboardConfig_; notify_; resizeSheetGrid_; safeSetRowHeights_,No static caller detected,DATA_START_ROW; SHEET_TYPE; applyGovernedTextAndNumberFormats_; deleteSheetSafely_; getHeadersForSheetType_; getMonthlyChangeReportHeaders_; getSheetDefinitionByType_; getThemeColorsFromBase_; insertGovernedOutputSheet_; loadDashboardConfig_; notify_; resizeSheetGrid_; safeSetRowHeights_,SpreadsheetApp,Banner Summary Changes; Error: Monthly Change sheet definition not found in dashboard.; Monthly Change Report; Monthly Change template rebuild; SUCCESS: Monthly Change Template sanitized and text-shielded.; MONTHLY_CHANGE; RAW_DATA; SHEET_TYPE,DATA_START_ROW; SHEET_TYPE,Error: Monthly Change sheet definition not found in dashboard.,getActiveSpreadsheet(); getRange(); getSheetByName(),hideSheet(); setBackground(); setFontColor(); setFontSize(); setFontWeight(); setFrozenColumns(); setFrozenRows(); setHorizontalAlignment(); setTabColor(); setValue(); setValues(); setVerticalAlignment(); setWrapStrategy(),hideSheet(),None detected,None explicit,notify_,"Medium (LOC 80, branches 4)"
